isodate,offer,salary,contract_type,start_hour,end_hour,hours_worked,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_worked,state,municipality,scholarship,experience,languages
2020-08-06,auxiliar limpieza areas verdes,4000,Contrato por tiempo indeterminado,700,1300,6.0,1,1,1,1,1,1,1,7,Sinaloa,Culiacán,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,vendedor,4000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Yucatán,Umán,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,auxiliar contable,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Baja California,Ensenada,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,mecanico automotriz,7200,Contrato por tiempo indeterminado,800,2300,15.0,1,1,1,1,1,1,0,6,Baja California,Ensenada,Primaria,No especificada,No es requisito
2020-08-06,electromecanico,14000,Contrato por tiempo indeterminado,700,1600,9.0,1,1,1,1,1,1,0,6,Baja California,Ensenada,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,promotor,5628,Contrato por tiempo indeterminado,1000,1900,9.0,1,1,1,1,1,1,1,7,Baja California,Ensenada,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,ayudante cocinero,6000,Contrato por tiempo indeterminado,900,2200,13.0,1,1,1,1,1,1,1,7,Baja California,Ensenada,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,asesor ventas,6000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,Baja California,Ensenada,Prepa o vocacional,6m - 1 año,No es requisito
2020-08-06,enfermera,11000,Contrato por tiempo indeterminado,2400,2400,24.0,1,1,1,1,1,1,1,7,Baja California Sur,Los Cabos,Licenciatura,1 - 2 años,Inglés-Intermedio Se requiere una certificación del idioma
2020-08-06,intendente,6000,Contrato por tiempo indeterminado,700,2400,17.0,1,1,1,1,1,1,1,7,Baja California Sur,Los Cabos,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-06,asesor ventas,4000,Contrato por tiempo indeterminado,800,1600,8.0,1,1,1,1,1,0,0,5,México,Tejupilco,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,abarrotero,4000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,1,7,México,Tejupilco,Secundaria/sec. técnica,No especificada,No es requisito
2020-08-06,chofer reparto foraneo farmacos,8000,Contrato por tiempo indeterminado,500,1700,12.0,1,1,1,1,1,1,0,6,San Luis Potosí,Rioverde,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,promotores credito,4800,Contrato por tiempo indeterminado,800,1700,9.0,1,1,1,1,1,0,0,5,Baja California,Ensenada,Primaria,6m - 1 año,No es requisito
2020-08-06,mecanico bombas,12000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,0,6,Baja California Sur,Los Cabos,Secundaria/sec. técnica,1 - 2 años,No es requisito
2020-08-06,almacenista,7200,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,cocinero,5000,Contrato por tiempo indeterminado,600,1200,6.0,1,1,1,1,1,1,1,7,Quintana Roo,Benito Juárez,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,encargado tienda,10000,Contrato por tiempo indeterminado,700,1500,8.0,1,1,1,1,1,1,1,7,Tamaulipas,Nuevo Laredo,Licenciatura,6m - 1 año,No es requisito
2020-08-06,operario general,5302,Contrato por tiempo indeterminado,600,600,24.0,1,1,1,1,1,0,0,5,Tamaulipas,Nuevo Laredo,Primaria,No especificada,No es requisito
2020-08-06,chofer carga y descarga,8500,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,San Luis Potosí,San Luis Potosí,Prepa o vocacional,2 - 3 años,No es requisito
2020-08-06,mecanico automotriz,8000,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,0,6,San Luis Potosí,San Luis Potosí,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,asesor ventas alarmas,6500,Contrato por tiempo indeterminado,900,1800,9.0,1,1,1,1,1,1,0,6,San Luis Potosí,San Luis Potosí,Carrera comercial,1 - 2 años,No es requisito
2020-08-06,tecncio mantenimiento electrico,10000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,San Luis Potosí,San Luis Potosí,Carrera técnica,6m - 1 año,No es requisito
2020-08-06,soldador,8800,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,0,0,5,San Luis Potosí,San Luis Potosí,Secundaria/sec. técnica,6m - 1 año,No es requisito
2020-08-06,facturista,10000,Contrato por periodo de prueba,800,1800,10.0,1,1,1,1,1,1,0,6,San Luis Potosí,San Luis Potosí,Carrera técnica,1 - 2 años,No es requisito
2020-08-06,inspector control calidad/en procesos y acondicionamiento para la industria farmaceutica,14000,Contrato por tiempo determinado,800,1600,8.0,1,1,1,1,1,1,0,6,Ciudad de México,Benito Juárez,Licenciatura,Más de 5 años,Inglés-Intermedio
2020-08-06,supervisor servicios limpieza,11500,Contrato por tiempo determinado,800,1700,9.0,1,1,1,1,1,1,0,6,Hidalgo,Tula de Allende,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,supervisor servicios limpieza,11500,Contrato por tiempo determinado,800,1700,9.0,1,1,1,1,1,1,0,6,Hidalgo,Ixmiquilpan,Prepa o vocacional,1 - 2 años,No es requisito
2020-08-06,encargada recursos humanos,8000,Contrato por tiempo indeterminado,800,1800,10.0,1,1,1,1,1,1,0,6,Oaxaca,Oaxaca de Juárez,Licenciatura,1 - 2 años,No es requisito
2020-08-06,electromecanico,6500,Contrato por tiempo indeterminado,1400,2200,8.0,0,0,1,1,1,1,1,5,Puebla,Puebla,T. superior universitario,1 - 2 años,No es requisito
